metric,source_label,metric_name
v2mecorrpt,V-Dem,Freedom from media corruption
v2merange,V-Dem,Range of media perspectives
v2pepwrses,V-Dem,Power distribution by socioeconomic position
v2pepwrsoc,V-Dem,Power distribution by social group
v2pscohesv,V-Dem,Party cohesion
v2psoppaut,V-Dem,Opposition party autonomy
v2psprlnks,V-Dem,Party-citizen linkages
v2svdomaut,V-Dem,Freedom from foreign policy control
v2svstterr,V-Dem,State control over territory
v2x_civlib,V-Dem,Civil liberties (index)
v2x_corr,V-Dem,Political corruption (index)
v2x_egal,V-Dem,Egalitarian democracy (index)
v2x_freexp_altinf,V-Dem,Freedom of expression (index)
v2x_partip,V-Dem,Participatory democracy (index)
v2x_polyarchy,V-Dem,Electoral democracy / polyarchy (index)
v2xcl_prpty,V-Dem,Property rights (index)
v2xeg_eqaccess,V-Dem,Equal access to power (index)
v2xlg_legcon,V-Dem,Legislative constraints on executive (index)
vdem_regime_duration,V-Dem,Regime duration
wb_carbon_coverage_pct,World Bank,Carbon price emissions coverage
wb_carbon_price_usd,World Bank,Carbon price level
wb_carbon_pricing_exists,World Bank,Carbon pricing in force
wb_carbon_revenue_pct_gdp,World Bank,Carbon revenue (% of GDP)
wbl_enforcement_perceptions,World Bank WBL,"Gender-equality law enforcement, de facto"
wbl_legal_framework,World Bank WBL,"Gender-equality legal framework, de jure"
wbl_supportive_framework,World Bank WBL,Gender-equality supportive frameworks
wdi_education_index,World Bank WDI,Education outcomes (index)
wdi_hci_plus_overall,World Bank HCI,Human capital
wdi_health_index,World Bank WDI,Health outcomes (index)
wdi_infrastructure_index,World Bank WDI,Infrastructure quality (index)
wdi_lpi_overall,World Bank LPI,Logistics performance
wdi_social_protection_index,World Bank WDI,Social protection coverage (index)
wdi_tariff_rate_simple_mean,World Bank WDI,Average import tariff
wgi_government_effectiveness,WGI,Government effectiveness
wgi_political_stability,WGI,Political stability and absence of violence
wgi_regulatory_quality,WGI,Regulatory quality
wjp_f2_absence_corruption,World Justice Project,Absence of corruption
wjp_f3_open_government,World Justice Project,Open government
wjp_f4_fundamental_rights,World Justice Project,Fundamental rights
wjp_f5_order_security,World Justice Project,Order and security
wjp_f6_5_no_expropriation,World Justice Project,Freedom from unlawful expropriation
wjp_f6_regulatory_enforcement,World Justice Project,Regulatory enforcement
wjp_f7_civil_justice,World Justice Project,Civil justice
wjp_f8_criminal_justice,World Justice Project,Criminal justice
