metric,source_id,missingness_tag,rationale
rti_total,RTI_RATING,endogenous,absence reflects weak governance (producing/permitting the data needs state capacity or the good-governance arrangement is being measured); full penalty
polfin_transparency_integrity,TI_POLFINANCE,endogenous,absence reflects weak governance (producing/permitting the data needs state capacity or the good-governance arrangement is being measured); full penalty
brss_regstringency,WB_BRSS,endogenous,absence reflects weak governance (producing/permitting the data needs state capacity or the good-governance arrangement is being measured); full penalty
wb_carbon_coverage_pct,WB_CARBON,endogenous,"share of emissions the pricing actually covers = the state's implementation reach, a capacity/will signal"
ascor_climate_governance,ASCOR,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
bci_corruption_index,BCI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
ccp_civil_rights_provisions,CCP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
ccp_information_access,CCP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
kaopen_norm,CHINN_ITO,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
civicus_score,CIVICUS,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fh_a_electoral_process,FH_FIW,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fh_d_expression_belief,FH_FIW,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fh_e_associational_rights,FH_FIW,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fh_g_personal_autonomy,FH_FIW,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fraser_legal_system,FRASER_LEGAL,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fraser_regulation,FRASER_REG,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fsi_c1_security_apparatus,FSI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fsi_c2_factionalized_elites,FSI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fsi_c3_group_grievance,FSI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fsi_p2_public_services,FSI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
gpi_peace_index,GPI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fraser_trade_freedom,HERITAGE_TR,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
idea_local_democracy,IDEA_GSOD,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
idea_participation,IDEA_GSOD,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fari_aggregate,IMF_AREAER,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fari_fdi_aggregate,IMF_AREAER,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
fari_fdi_inflow,IMF_AREAER,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
imapp_breadth_total,IMF_IMAPP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
irena_renewables_share_pct,IRENA_CAPACITY,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
nelda_concerns_not_free_fair,NELDA,exogenous,"NELDA is PERIODIC not census - a row exists only for country-years WITH an election, so absence = no-election-that-year, handled by S6 latest-within-window collapse (NOT zero-fill, which would falsely assert 'no concerns' for non-election years). Tagged exogenous: missingness after collapse (no election in the window) is not penalized, and these are all Supplementary (weight 0) so the penalty never fires on them regardless"
nelda_media_bias_incumbent,NELDA,exogenous,"NELDA is PERIODIC not census - a row exists only for country-years WITH an election, so absence = no-election-that-year, handled by S6 latest-within-window collapse (NOT zero-fill, which would falsely assert 'no concerns' for non-election years). Tagged exogenous: missingness after collapse (no election in the window) is not penalized, and these are all Supplementary (weight 0) so the penalty never fires on them regardless"
nelda_opposition_allowed,NELDA,exogenous,"NELDA is PERIODIC not census - a row exists only for country-years WITH an election, so absence = no-election-that-year, handled by S6 latest-within-window collapse (NOT zero-fill, which would falsely assert 'no concerns' for non-election years). Tagged exogenous: missingness after collapse (no election in the window) is not penalized, and these are all Supplementary (weight 0) so the penalty never fires on them regardless"
nelda_riots_protests_after,NELDA,exogenous,"NELDA is PERIODIC not census - a row exists only for country-years WITH an election, so absence = no-election-that-year, handled by S6 latest-within-window collapse (NOT zero-fill, which would falsely assert 'no concerns' for non-election years). Tagged exogenous: missingness after collapse (no election in the window) is not penalized, and these are all Supplementary (weight 0) so the penalty never fires on them regardless"
nelda_violence_deaths_before,NELDA,exogenous,"NELDA is PERIODIC not census - a row exists only for country-years WITH an election, so absence = no-election-that-year, handled by S6 latest-within-window collapse (NOT zero-fill, which would falsely assert 'no concerns' for non-election years). Tagged exogenous: missingness after collapse (no election in the window) is not penalized, and these are all Supplementary (weight 0) so the penalty never fires on them regardless"
tfi_avg,OECD_TFI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
pei_electoral_integrity_index,PEI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
pew_gov_restrictions_index,PEW_GRI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
pew_social_hostilities_index,PEW_GRI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
pts_index,PTS,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
romelli_cbi_index,ROMELLI_CBI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
ti_cpi_score,TI_CPI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
unodc_homicide_rate,UNODC_HOMICIDE,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2clacjstw,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2cldmovem,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2cldmovew,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2clkill,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2clrelig,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2clrgunev,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2clrspct,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2clslavef,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2clsocgrp,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2clstown,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2cltort,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2cltrnslw,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2cscnsult,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2cseeorgs,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2csprtcpt,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2csreprss,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2dlconslt,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2elaccept,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2elembaut,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2elembcap,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2elfrfair,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2elintim,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2elirreg,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2elvotbuy,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2jucomp,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2jucorrdc,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2juhcind,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2juncind,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2jupack,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2jupurge,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2lgcrrpt,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2lginvstp,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2lgoppart,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2lgotovst,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2lgqstexp,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2mebias,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2mecenefm,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2mecorrpt,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2merange,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2pepwrses,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2pepwrsoc,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2pscohesv,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2psoppaut,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2psprlnks,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2svdomaut,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2svstterr,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2x_civlib,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2x_corr,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2x_egal,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2x_freexp_altinf,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2x_partip,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2x_polyarchy,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2xcl_prpty,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2xeg_eqaccess,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
v2xlg_legcon,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
vdem_regime_duration,VDEM,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wb_carbon_price_usd,WB_CARBON,exogenous,"conditional on carbon pricing existing; absence = no policy (structural), a policy choice not a governance failure - C12 relevance already halved"
wb_carbon_revenue_pct_gdp,WB_CARBON,exogenous,conditional on carbon pricing existing; absence = no policy (structural)
wdi_hci_plus_overall,WB_HCI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wdi_lpi_overall,WB_LPI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wbl_enforcement_perceptions,WB_WBL,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wbl_legal_framework,WB_WBL,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wbl_supportive_framework,WB_WBL,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wdi_education_index,WDI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wdi_health_index,WDI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wdi_infrastructure_index,WDI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wdi_tariff_rate_simple_mean,WDI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wgi_government_effectiveness,WGI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wgi_political_stability,WGI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wgi_regulatory_quality,WGI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wjp_f2_absence_corruption,WJP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wjp_f3_open_government,WJP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wjp_f4_fundamental_rights,WJP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wjp_f5_order_security,WJP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wjp_f6_5_no_expropriation,WJP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wjp_f6_regulatory_enforcement,WJP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wjp_f7_civil_justice,WJP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
wjp_f8_criminal_justice,WJP,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
epi_agr,YALE_EPI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
epi_bdh,YALE_EPI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
epi_cch,YALE_EPI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
epi_wrs,YALE_EPI,exogenous,"gap is coverage/scope-driven, not a governance signal; no penalty"
